Feature,Information_Gain
hobi,0.0002951660771293961
holden,0.00022932202116135838
holdingnya,0.00022932202116135838
holiday,0.0001882094419438352
holistik,6.688823393222231e-05
homologasi,0.0001882094419438352
hore,0.0004174740515685022
hormat,0.0001882094419438352
horn,0.00022932202116135838
horsepowernya,0.0001882094419438352
hot,0.0001882094419438352
hour,0.00022932202116135838
house,0.00029757774086406957
hrusnya,0.00043914015144671083
hyundai,0.0014760014820931486
ikat,0.0006272921818538547
ikhlas,0.0007532492762904377
iklan,0.0002775260212854651
iklim,0.00022821616558974358
ikn,0.0003004444039060128
ikutin,0.00022932202116135838
ilmiah,0.0001882094419438352
ilmu,0.0015423713813371427
ilmuwan,0.0002951660771293961
ilustrasi,6.688823393222231e-05
image,0.00043914015144671083
imam,0.00043914015144671083
iman,0.00022932202116135838
implement,0.00043914015144671083
implementasi,0.0003580277207180099
impor,0.001194549841316043
important,0.00022932202116135838
importir,0.00022932202116135838
induk,0.0006272921818538547
induksi,8.534794684404365e-05
industri,0.004003922750160255
industrialisasi,8.534794684404365e-05
industries,0.00022932202116135838
inflasi,0.00014820959043265703
influencer,0.00022932202116135838
info,0.0005107768015525944
informasi,0.0013243761257652844
informatif,0.0001882094419438352
infrastruktur,0.00012249689942862483
initial,0.00022932202116135838
injeksi,0.00037648743362983126
inovasi,0.0012730000848857697
inovatif,0.00022932202116135838
inpres,0.0002951660771293961
insentif,0.004279642311861055
insight,8.534794684404365e-05
insightful,0.00037648743362983126
insightnya,0.0001882094419438352
insinyur,0.00037648743362983126
inspirasi,0.0005648340275581018
inspirator,0.0001882094419438352
instalasi,0.0001707417033053535
instan,0.00026138814717246886
instansi,0.00043914015144671083
institusi,0.00022932202116135838
institut,0.0001882094419438352
integrasi,0.000565517940260793
intel,0.0005648340275581018
intens,0.0001882094419438352
intensif,0.00014820959043265703
intensitas,0.0001882094419438352
intergrated,0.0001882094419438352
interior,0.0003580277207180099
internal,0.0008618691667428777
internasional,0.0014717157512994673
internet,0.0009897687011524792
intervensi,0.0006503042362133019
inti,0.00045086825983294
intimidasi,0.00043914015144671083
issue,0.00022932202116135838
istana,0.0007821887634567328
istik,0.0001882094419438352
istilah,0.0003788990973645043
istimewa,0.0001882094419438352
istirahat,0.00037648743362983126
istri,0.00043914015144671083
isu,0.0008008362940991052
italia,0.0001882094419438352
itikad,0.00022932202116135838
its,4.82841793296039e-05
izin,0.00034493868544737023
jadul,8.534794684404365e-05
jaman,0.00043914015144671083
